,GO term,COGs,GO term name,Number of COGs,IC,SuperCOGs,Number of SuperCOGs
0,GO:0006048,"{'G', 'C', 'H'}",UDP-N-acetylglucosamine biosynthetic process,3,9.3084,{'supercog2'},1
1,GO:0002761,"{'D', 'W', 'T'}",regulation of myeloid leukocyte differentiation,3,9.9528,{'supercog1'},1
2,GO:0045582,"{'D', 'W', 'T'}",positive regulation of T cell differentiation,3,10.798,{'supercog1'},1
3,GO:0010524,"{'P', 'T', 'U'}",positive regulation of calcium ion transport into cytosol,3,11.2701,"{'supercog2', 'supercog1'}",2
4,GO:0030089,"{'O', 'C', 'M'}",phycobilisome,3,9.8934,"{'supercog2', 'supercog1'}",2
5,GO:0006167,"{'C', 'F', 'H'}",AMP biosynthetic process,3,7.7086,{'supercog2'},1
6,GO:0032434,"{'O', 'C', 'T'}",regulation of proteasomal ubiquitin-dependent protein catabolic process,3,10.3788,"{'supercog2', 'supercog1'}",2
7,GO:0045087,"{'W', 'T', 'V'}",innate immune response,3,6.7917,{'supercog1'},1
8,GO:0034341,"{'W', 'T', 'V'}",response to interferon-gamma,3,9.7364,{'supercog1'},1
9,GO:1900371,"{'C', 'F', 'H'}",regulation of purine nucleotide biosynthetic process,3,11.3174,{'supercog2'},1
10,GO:0009654,"{'O', 'C', 'M'}",photosystem II oxygen evolving complex,3,11.2818,"{'supercog2', 'supercog1'}",2
11,GO:0032264,"{'C', 'F', 'H'}",IMP salvage,3,11.6697,{'supercog2'},1
12,GO:0005753,"{'O', 'C', 'M'}",mitochondrial proton-transporting ATP synthase complex,3,10.8934,"{'supercog2', 'supercog1'}",2
13,GO:0010138,"{'C', 'F', 'H'}",pyrimidine ribonucleotide salvage,3,9.5913,{'supercog2'},1
14,GO:1901019,"{'P', 'T', 'U'}",regulation of calcium ion transmembrane transporter activity,3,10.9482,"{'supercog2', 'supercog1'}",2
15,GO:0045646,"{'D', 'W', 'T'}",regulation of erythrocyte differentiation,3,11.1368,{'supercog1'},1
16,GO:0030516,"{'D', 'T', 'Z'}",regulation of axon extension,3,10.7813,{'supercog1'},1
17,GO:0007004,"{'B', 'L', 'O'}",telomere maintenance via telomerase,3,10.6851,"{'supercog3', 'supercog1'}",2
18,GO:2000058,"{'O', 'C', 'T'}",regulation of ubiquitin-dependent protein catabolic process,3,10.1002,"{'supercog2', 'supercog1'}",2
19,GO:0002720,"{'W', 'T', 'K'}",positive regulation of cytokine production involved in immune response,3,10.6544,"{'supercog3', 'supercog1'}",2
20,GO:0008649,"{'A', 'J', 'H'}",rRNA methyltransferase activity,3,6.5858,"{'supercog3', 'supercog2'}",2
21,GO:0006177,"{'C', 'F', 'H'}",GMP biosynthetic process,3,9.273,{'supercog2'},1
22,GO:0050670,"{'D', 'W', 'T'}",regulation of lymphocyte proliferation,3,9.1854,{'supercog1'},1
23,GO:0050671,"{'D', 'W', 'T'}",positive regulation of lymphocyte proliferation,3,10.0543,{'supercog1'},1
24,GO:0036064,"{'O', 'M', 'Z'}",ciliary basal body,3,10.51,{'supercog1'},1
25,GO:0046651,"{'D', 'W', 'T'}",lymphocyte proliferation,3,8.8406,{'supercog1'},1
26,GO:0006189,"{'C', 'F', 'H'}",'de novo' IMP biosynthetic process,3,7.5092,{'supercog2'},1
27,GO:0002724,"{'W', 'T', 'K'}",regulation of T cell cytokine production,3,10.9389,"{'supercog3', 'supercog1'}",2
28,GO:0051282,"{'P', 'T', 'U'}",regulation of sequestering of calcium ion,3,10.1158,"{'supercog2', 'supercog1'}",2
29,GO:0044209,"{'C', 'F', 'H'}",AMP salvage,3,8.4511,{'supercog2'},1
30,GO:0043601,"{'L', 'O', 'Y'}",nuclear replisome,3,11.2019,"{'supercog3', 'supercog1'}",2
31,GO:0033047,"{'B', 'D', 'Y'}",regulation of mitotic sister chromatid segregation,3,9.9389,"{'supercog3', 'supercog1'}",2
32,GO:0071357,"{'W', 'T', 'V'}",cellular response to type I interferon,3,9.798,{'supercog1'},1
33,GO:0051279,"{'P', 'T', 'U'}",regulation of release of sequestered calcium ion into cytosol,3,10.9575,"{'supercog2', 'supercog1'}",2
34,GO:0044206,"{'C', 'F', 'H'}",UMP salvage,3,9.5913,{'supercog2'},1
35,GO:0051204,"{'O', 'U', 'M'}",protein insertion into mitochondrial membrane,3,10.8492,{'supercog1'},1
36,GO:0045621,"{'D', 'W', 'T'}",positive regulation of lymphocyte differentiation,3,10.662,{'supercog1'},1
37,GO:0033178,"{'O', 'C', 'M'}","proton-transporting two-sector ATPase complex, catalytic domain",3,7.016,"{'supercog2', 'supercog1'}",2
38,GO:0045637,"{'D', 'W', 'T'}",regulation of myeloid cell differentiation,3,9.1528,{'supercog1'},1
39,GO:0010523,"{'P', 'T', 'U'}",negative regulation of calcium ion transport into cytosol,3,12.2935,"{'supercog2', 'supercog1'}",2
40,GO:0043488,"{'A', 'T', 'K'}",regulation of mRNA stability,3,9.8492,"{'supercog3', 'supercog1'}",2
41,GO:0009152,"{'C', 'F', 'H'}",purine ribonucleotide biosynthetic process,3,4.8948,{'supercog2'},1
42,GO:0002688,"{'T', 'W', 'N'}",regulation of leukocyte chemotaxis,3,9.9389,{'supercog1'},1
43,GO:0009226,"{'G', 'C', 'H'}",nucleotide-sugar biosynthetic process,3,7.6068,{'supercog2'},1
44,GO:0033177,"{'O', 'C', 'M'}","proton-transporting two-sector ATPase complex, proton-transporting domain",3,8.1854,"{'supercog2', 'supercog1'}",2
45,GO:0016433,"{'A', 'J', 'H'}",rRNA (adenine) methyltransferase activity,3,8.4041,"{'supercog3', 'supercog2'}",2
46,GO:0000045,"{'O', 'C', 'U'}",autophagosome assembly,3,9.7324,"{'supercog2', 'supercog1'}",2
47,GO:0017056,"{'O', 'Y', 'U'}",structural constituent of nuclear pore,3,10.9297,"{'supercog3', 'supercog1'}",2
48,GO:0016435,"{'A', 'J', 'H'}",rRNA (guanine) methyltransferase activity,3,8.5913,"{'supercog3', 'supercog2'}",2
49,GO:0045261,"{'O', 'C', 'M'}","proton-transporting ATP synthase complex, catalytic core F(1)",3,7.1854,"{'supercog2', 'supercog1'}",2
50,GO:0046637,"{'D', 'W', 'T'}",regulation of alpha-beta T cell differentiation,3,11.0051,{'supercog1'},1
51,GO:1902105,"{'D', 'W', 'T'}",regulation of leukocyte differentiation,3,8.9023,{'supercog1'},1
52,GO:0002367,"{'W', 'T', 'K'}",cytokine production involved in immune response,3,9.8711,"{'supercog3', 'supercog1'}",2
53,GO:0019200,"{'G', 'P', 'T'}",carbohydrate kinase activity,3,8.4495,"{'supercog2', 'supercog1'}",2
54,GO:0002369,"{'W', 'T', 'K'}",T cell cytokine production,3,10.7731,"{'supercog3', 'supercog1'}",2
55,GO:0042100,"{'D', 'W', 'T'}",B cell proliferation,3,10.095,{'supercog1'},1
56,GO:0003747,"{'O', 'A', 'J'}",translation release factor activity,3,8.6812,"{'supercog3', 'supercog1'}",2
57,GO:0004673,"{'O', 'P', 'T'}",protein histidine kinase activity,3,9.2965,"{'supercog2', 'supercog1'}",2
58,GO:0045580,"{'D', 'W', 'T'}",regulation of T cell differentiation,3,10.0051,{'supercog1'},1
59,GO:0008079,"{'O', 'A', 'J'}",translation termination factor activity,3,8.6697,"{'supercog3', 'supercog1'}",2
60,GO:0042129,"{'D', 'W', 'T'}",regulation of T cell proliferation,3,9.5238,{'supercog1'},1
61,GO:0042102,"{'D', 'W', 'T'}",positive regulation of T cell proliferation,3,10.5308,{'supercog1'},1
62,GO:0006188,"{'C', 'F', 'H'}",IMP biosynthetic process,3,7.429,{'supercog2'},1
63,GO:0032262,"{'C', 'F', 'H'}",pyrimidine nucleotide salvage,3,9.584,{'supercog2'},1
64,GO:0000179,"{'A', 'J', 'H'}","rRNA (adenine-N6,N6-)-dimethyltransferase activity",3,9.3632,"{'supercog3', 'supercog2'}",2
65,GO:0045263,"{'O', 'C', 'M'}","proton-transporting ATP synthase complex, coupling factor F(o)",3,8.2847,"{'supercog2', 'supercog1'}",2
66,GO:0002718,"{'W', 'T', 'K'}",regulation of cytokine production involved in immune response,3,10.0295,"{'supercog3', 'supercog1'}",2
67,GO:0005178,"{'O', 'W', 'T'}",integrin binding,3,10.0003,{'supercog1'},1
68,GO:0042098,"{'D', 'W', 'T'}",T cell proliferation,3,9.3914,{'supercog1'},1
69,GO:0032261,"{'C', 'F', 'H'}",purine nucleotide salvage,3,8.0963,{'supercog2'},1
70,GO:0006164,"{'C', 'F', 'H'}",purine nucleotide biosynthetic process,3,4.7987,{'supercog2'},1
71,GO:0044208,"{'C', 'F', 'H'}",'de novo' AMP biosynthetic process,3,9.0444,{'supercog2'},1
